,bank.type,bank.value,bankLabel.xml:lang,bankLabel.type,bankLabel.value,countryLabel.xml:lang,countryLabel.type,countryLabel.value,instanceLabel.xml:lang,instanceLabel.type,instanceLabel.value,viafid.type,viafid.value,deathyear.datatype,deathyear.type,deathyear.value,website.type,website.value,bankDescription.xml:lang,bankDescription.type,bankDescription.value,bankAltLabel.xml:lang,bankAltLabel.type,bankAltLabel.value,twitter.type,twitter.value,isin.type,isin.value,gid.type,gid.value,permid.type,permid.value,parent.type,parent.value,lei.type,lei.value
22,uri,http://www.wikidata.org/entity/Q2003549,en,literal,Axis Bank,en,literal,India,en,literal,bank,,,,,,uri,https://www.axisbank.com/,en,literal,Indian Private Sector Bank,en,literal,UTI Bank,literal,AxisBank,literal,INE238A01034,,,literal,4295873131,,,,
23,uri,http://www.wikidata.org/entity/Q2003549,en,literal,Axis Bank,en,literal,India,en,literal,financial institution,,,,,,uri,https://www.axisbank.com/,en,literal,Indian Private Sector Bank,en,literal,UTI Bank,literal,AxisBank,literal,INE238A01034,,,literal,4295873131,,,,
24,uri,http://www.wikidata.org/entity/Q2003549,en,literal,Axis Bank,en,literal,India,en,literal,public company,,,,,,uri,https://www.axisbank.com/,en,literal,Indian Private Sector Bank,en,literal,UTI Bank,literal,AxisBank,literal,INE238A01034,,,literal,4295873131,,,,
25,uri,http://www.wikidata.org/entity/Q2003549,en,literal,Axis Bank,en,literal,India,en,literal,business,,,,,,uri,https://www.axisbank.com/,en,literal,Indian Private Sector Bank,en,literal,UTI Bank,literal,AxisBank,literal,INE238A01034,,,literal,4295873131,,,,
26,uri,http://www.wikidata.org/entity/Q2003611,en,literal,Indian Overseas Bank,en,literal,India,en,literal,bank,literal,140844351,,,,uri,https://www.iob.in,en,literal,public sector bank in India,en,literal,IOB,literal,iobindia,,,,,,,,,,
27,uri,http://www.wikidata.org/entity/Q2003611,en,literal,Indian Overseas Bank,en,literal,India,en,literal,financial services,literal,140844351,,,,uri,https://www.iob.in,en,literal,public sector bank in India,en,literal,IOB,literal,iobindia,,,,,,,,,,
28,uri,http://www.wikidata.org/entity/Q2003611,en,literal,Indian Overseas Bank,en,literal,India,en,literal,business,literal,140844351,,,,uri,https://www.iob.in,en,literal,public sector bank in India,en,literal,IOB,literal,iobindia,,,,,,,,,,
29,uri,http://www.wikidata.org/entity/Q2003777,en,literal,Canara Bank,en,literal,India,en,literal,bank,literal,134995065,,,,uri,http://www.canarabank.com/,en,literal,public sector bank owned by the Indian government,,,,literal,canarabank,,,,,,,,,,
30,uri,http://www.wikidata.org/entity/Q2003777,en,literal,Canara Bank,en,literal,India,en,literal,financial institution,literal,134995065,,,,uri,http://www.canarabank.com/,en,literal,public sector bank owned by the Indian government,,,,literal,canarabank,,,,,,,,,,
31,uri,http://www.wikidata.org/entity/Q2003789,en,literal,Indian Bank,en,literal,India,en,literal,bank,literal,152474299,,,,uri,http://www.indianbank.in/,en,literal,Indian state-owned financial services company,,,,literal,MyIndianBank,,,,,,,,,,
32,uri,http://www.wikidata.org/entity/Q2003789,en,literal,Indian Bank,en,literal,India,en,literal,financial institution,literal,152474299,,,,uri,http://www.indianbank.in/,en,literal,Indian state-owned financial services company,,,,literal,MyIndianBank,,,,,,,,,,
33,uri,http://www.wikidata.org/entity/Q2003789,en,literal,Indian Bank,en,literal,India,en,literal,business,literal,152474299,,,,uri,http://www.indianbank.in/,en,literal,Indian state-owned financial services company,,,,literal,MyIndianBank,,,,,,,,,,
34,uri,http://www.wikidata.org/entity/Q2003797,en,literal,Bank of Baroda,en,literal,India,en,literal,bank,,,,,,uri,http://www.bankofbaroda.com/,en,literal,Indian multinational banking company,en,literal,BoB,literal,bankofbaroda,literal,INE028A01039,,,,,,,,
35,uri,http://www.wikidata.org/entity/Q2003797,en,literal,Bank of Baroda,en,literal,India,en,literal,financial institution,,,,,,uri,http://www.bankofbaroda.com/,en,literal,Indian multinational banking company,en,literal,BoB,literal,bankofbaroda,literal,INE028A01039,,,,,,,,
36,uri,http://www.wikidata.org/entity/Q2003797,en,literal,Bank of Baroda,en,literal,India,en,literal,public company,,,,,,uri,http://www.bankofbaroda.com/,en,literal,Indian multinational banking company,en,literal,BoB,literal,bankofbaroda,literal,INE028A01039,,,,,,,,
37,uri,http://www.wikidata.org/entity/Q2004078,en,literal,Union Bank of India,en,literal,India,en,literal,bank,literal,136166540,,,,uri,http://www.unionbankofindia.co.in/,en,literal,Indian government-owned banking company,en,literal,Baba ram Photos,literal,UnionBankTweets,,,,,,,,,,
38,uri,http://www.wikidata.org/entity/Q2004078,en,literal,Union Bank of India,en,literal,India,en,literal,state-owned enterprise,literal,136166540,,,,uri,http://www.unionbankofindia.co.in/,en,literal,Indian government-owned banking company,en,literal,Baba ram Photos,literal,UnionBankTweets,,,,,,,,,,
39,uri,http://www.wikidata.org/entity/Q2004078,en,literal,Union Bank of India,en,literal,India,en,literal,financial institution,literal,136166540,,,,uri,http://www.unionbankofindia.co.in/,en,literal,Indian government-owned banking company,en,literal,Baba ram Photos,literal,UnionBankTweets,,,,,,,,,,
40,uri,http://www.wikidata.org/entity/Q2004078,en,literal,Union Bank of India,en,literal,India,en,literal,business,literal,136166540,,,,uri,http://www.unionbankofindia.co.in/,en,literal,Indian government-owned banking company,en,literal,Baba ram Photos,literal,UnionBankTweets,,,,,,,,,,
41,uri,http://www.wikidata.org/entity/Q2004088,en,literal,Syndicate Bank,en,literal,India,en,literal,bank,literal,147984961,,,,uri,https://www.syndicatebank.in/,en,literal,commercial banking group located in India,,,,literal,syndicatebank,,,,,,,,,,
42,uri,http://www.wikidata.org/entity/Q2004088,en,literal,Syndicate Bank,en,literal,India,en,literal,financial institution,literal,147984961,,,,uri,https://www.syndicatebank.in/,en,literal,commercial banking group located in India,,,,literal,syndicatebank,,,,,,,,,,
43,uri,http://www.wikidata.org/entity/Q2004088,en,literal,Syndicate Bank,en,literal,India,en,literal,commercial bank,literal,147984961,,,,uri,https://www.syndicatebank.in/,en,literal,commercial banking group located in India,,,,literal,syndicatebank,,,,,,,,,,
44,uri,http://www.wikidata.org/entity/Q2004088,en,literal,Syndicate Bank,en,literal,India,en,literal,business,literal,147984961,,,,uri,https://www.syndicatebank.in/,en,literal,commercial banking group located in India,,,,literal,syndicatebank,,,,,,,,,,
45,uri,http://www.wikidata.org/entity/Q2040264,en,literal,City Union Bank,en,literal,India,en,literal,bank,,,,,,uri,http://www.cityunionbank.com/,en,literal,Indian bank whose headquarters is at Kumbakonam,en,literal,"CUB, The Kumbakonam Bank Limited",,,literal,INE491A01021,,,,,,,,
46,uri,http://www.wikidata.org/entity/Q2040264,en,literal,City Union Bank,en,literal,India,en,literal,public company,,,,,,uri,http://www.cityunionbank.com/,en,literal,Indian bank whose headquarters is at Kumbakonam,en,literal,"CUB, The Kumbakonam Bank Limited",,,literal,INE491A01021,,,,,,,,
47,uri,http://www.wikidata.org/entity/Q2040264,en,literal,City Union Bank,en,literal,India,en,literal,business,,,,,,uri,http://www.cityunionbank.com/,en,literal,Indian bank whose headquarters is at Kumbakonam,en,literal,"CUB, The Kumbakonam Bank Limited",,,literal,INE491A01021,,,,,,,,
48,uri,http://www.wikidata.org/entity/Q2040440,en,literal,Dhanlaxmi Bank,en,literal,India,en,literal,bank,,,,,,uri,http://www.dhanbank.com/,en,literal,"Private bank in Kerala, India",en,literal,Dhanalakshmi Bank,,,,,,,literal,4295874004,,,,
49,uri,http://www.wikidata.org/entity/Q2040440,en,literal,Dhanlaxmi Bank,en,literal,India,en,literal,public company,,,,,,uri,http://www.dhanbank.com/,en,literal,"Private bank in Kerala, India",en,literal,Dhanalakshmi Bank,,,,,,,literal,4295874004,,,,
50,uri,http://www.wikidata.org/entity/Q2040440,en,literal,Dhanlaxmi Bank,en,literal,India,en,literal,business,,,,,,uri,http://www.dhanbank.com/,en,literal,"Private bank in Kerala, India",en,literal,Dhanalakshmi Bank,,,,,,,literal,4295874004,,,,
51,uri,http://www.wikidata.org/entity/Q2044973,en,literal,South Indian Bank,en,literal,India,en,literal,bank,literal,315533113,,,,uri,http://www.southindianbank.com,en,literal,major Indian private sector banking company,,,,literal,OfficialSIBLtd,,,,,,,,,,
52,uri,http://www.wikidata.org/entity/Q2044973,en,literal,South Indian Bank,en,literal,India,en,literal,financial institution,literal,315533113,,,,uri,http://www.southindianbank.com,en,literal,major Indian private sector banking company,,,,literal,OfficialSIBLtd,,,,,,,,,,
53,uri,http://www.wikidata.org/entity/Q2044973,en,literal,South Indian Bank,en,literal,India,en,literal,business,literal,315533113,,,,uri,http://www.southindianbank.com,en,literal,major Indian private sector banking company,,,,literal,OfficialSIBLtd,,,,,,,,,,
54,uri,http://www.wikidata.org/entity/Q2044983,en,literal,Federal Bank,en,literal,India,en,literal,bank,,,,,,uri,https://www.federalbank.co.in/,en,literal,large commercial bank located in India,en,literal,Federal Bank Ltd,literal,FederalBankLtd,,,,,,,,,,
55,uri,http://www.wikidata.org/entity/Q2044983,en,literal,Federal Bank,en,literal,India,en,literal,financial institution,,,,,,uri,https://www.federalbank.co.in/,en,literal,large commercial bank located in India,en,literal,Federal Bank Ltd,literal,FederalBankLtd,,,,,,,,,,
56,uri,http://www.wikidata.org/entity/Q2044983,en,literal,Federal Bank,en,literal,India,en,literal,business,,,,,,uri,https://www.federalbank.co.in/,en,literal,large commercial bank located in India,en,literal,Federal Bank Ltd,literal,FederalBankLtd,,,,,,,,,,
57,uri,http://www.wikidata.org/entity/Q2743499,en,literal,Punjab National Bank,en,literal,India,en,literal,bank,literal,133754357,,,,uri,https://www.pnbindia.in,en,literal,Indian multinational bank,en,literal,PNB,literal,pnbindia,,,,,,,,,,
58,uri,http://www.wikidata.org/entity/Q2743499,en,literal,Punjab National Bank,en,literal,India,en,literal,credit institution,literal,133754357,,,,uri,https://www.pnbindia.in,en,literal,Indian multinational bank,en,literal,PNB,literal,pnbindia,,,,,,,,,,
59,uri,http://www.wikidata.org/entity/Q2743499,en,literal,Punjab National Bank,en,literal,India,en,literal,business,literal,133754357,,,,uri,https://www.pnbindia.in,en,literal,Indian multinational bank,en,literal,PNB,literal,pnbindia,,,,,,,,,,
60,uri,http://www.wikidata.org/entity/Q3549932,en,literal,Unibank,en,literal,Haiti,en,literal,bank,,,,,,uri,http://www.unibankhaiti.com/,en,literal,bank,en,literal,"Unibank, S.A.",,,,,,,,,,,,
61,uri,http://www.wikidata.org/entity/Q3549932,en,literal,Unibank,en,literal,Haiti,en,literal,business,,,,,,uri,http://www.unibankhaiti.com/,en,literal,bank,en,literal,"Unibank, S.A.",,,,,,,,,,,,
62,uri,http://www.wikidata.org/entity/Q4653100,en,literal,ANZ Fiji,en,literal,Fiji,en,literal,bank,,,,,,,,en,literal,Fijian branch of Australian bank,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q714641,,
63,uri,http://www.wikidata.org/entity/Q4854068,en,literal,AV Villas Bank,en,literal,Colombia,en,literal,bank,,,,,,uri,http://www.avvillas.com.co,en,literal,Colombian banking chain,,,,,,,,,,,,,,,
64,uri,http://www.wikidata.org/entity/Q4854068,en,literal,AV Villas Bank,en,literal,Colombia,en,literal,business,,,,,,uri,http://www.avvillas.com.co,en,literal,Colombian banking chain,,,,,,,,,,,,,,,
65,uri,http://www.wikidata.org/entity/Q4854087,en,literal,Economic Bank,en,literal,Bolivia,en,literal,bank,,,,,,uri,https://www.baneco.com.bo,en,literal,Bolivian financial institution,es,literal,Banco Económico,,,,,literal,/g/11j3wvzwmz,,,,,,
66,uri,http://www.wikidata.org/entity/Q4854087,en,literal,Economic Bank,en,literal,Bolivia,en,literal,financial institution,,,,,,uri,https://www.baneco.com.bo,en,literal,Bolivian financial institution,es,literal,Banco Económico,,,,,literal,/g/11j3wvzwmz,,,,,,
67,uri,http://www.wikidata.org/entity/Q4854087,en,literal,Economic Bank,en,literal,Bolivia,en,literal,enterprise,,,,,,uri,https://www.baneco.com.bo,en,literal,Bolivian financial institution,es,literal,Banco Económico,,,,,literal,/g/11j3wvzwmz,,,,,,
68,uri,http://www.wikidata.org/entity/Q4854122,en,literal,Bank of Bogota,en,literal,Colombia,en,literal,bank,literal,123170859,,,,uri,http://www.bancodebogota.com/,en,literal,First commercial bank established in Colombia,es,literal,"Banbogota, Banco de Bogota",literal,BancodeBogota,literal,COB01CB00036,,,,,,,,
69,uri,http://www.wikidata.org/entity/Q4854122,en,literal,Bank of Bogota,en,literal,Colombia,en,literal,credit institution,literal,123170859,,,,uri,http://www.bancodebogota.com/,en,literal,First commercial bank established in Colombia,es,literal,"Banbogota, Banco de Bogota",literal,BancodeBogota,literal,COB01CB00036,,,,,,,,
70,uri,http://www.wikidata.org/entity/Q4854127,en,literal,Western Bank,en,literal,Colombia,en,literal,bank,,,,,,uri,http://www.bancooccidente.com.co/,en,literal,Colombian banking institution,es,literal,Banco de Occidente Credencial,literal,Bco_Occidente,literal,COB23PA00067,,,,,,,,
71,uri,http://www.wikidata.org/entity/Q4854127,en,literal,Western Bank,en,literal,Colombia,en,literal,credit institution,,,,,,uri,http://www.bancooccidente.com.co/,en,literal,Colombian banking institution,es,literal,Banco de Occidente Credencial,literal,Bco_Occidente,literal,COB23PA00067,,,,,,,,
72,uri,http://www.wikidata.org/entity/Q4854127,en,literal,Western Bank,en,literal,Colombia,en,literal,business,,,,,,uri,http://www.bancooccidente.com.co/,en,literal,Colombian banking institution,es,literal,Banco de Occidente Credencial,literal,Bco_Occidente,literal,COB23PA00067,,,,,,,,
73,uri,http://www.wikidata.org/entity/Q4854127,en,literal,Western Bank,en,literal,Colombia,en,literal,enterprise,,,,,,uri,http://www.bancooccidente.com.co/,en,literal,Colombian banking institution,es,literal,Banco de Occidente Credencial,literal,Bco_Occidente,literal,COB23PA00067,,,,,,,,
74,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,bank,,,,,,uri,http://www.bancopichincha.com.co,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
75,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,business,,,,,,uri,http://www.bancopichincha.com.co,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
76,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,enterprise,,,,,,uri,http://www.bancopichincha.com.co,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
77,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,bank,,,,,,uri,http://www.bancopichincha.es,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
78,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,business,,,,,,uri,http://www.bancopichincha.es,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
79,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,enterprise,,,,,,uri,http://www.bancopichincha.es,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
80,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,bank,,,,,,uri,http://www.pichincha.com,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
81,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,business,,,,,,uri,http://www.pichincha.com,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
82,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,enterprise,,,,,,uri,http://www.pichincha.com,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
83,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,bank,,,,,,uri,http://www.pichincha.pe,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
84,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,business,,,,,,uri,http://www.pichincha.pe,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
85,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,enterprise,,,,,,uri,http://www.pichincha.pe,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
86,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,bank,,,,,,uri,http://www.pichinchapanama.com,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
87,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,business,,,,,,uri,http://www.pichinchapanama.com,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
88,uri,http://www.wikidata.org/entity/Q4854135,en,literal,Pichincha Bank,en,literal,Ecuador,en,literal,enterprise,,,,,,uri,http://www.pichinchapanama.com,en,literal,largest private bank in Ecuador,es,literal,Banco del Pichincha,literal,BancoPichincha,,,,,,,,,,
89,uri,http://www.wikidata.org/entity/Q4854841,en,literal,Banesco,en,literal,Venezuela,en,literal,bank,literal,133953047,,,,uri,http://www.banesco.com,en,literal,Venezuelan financial institution located in Caracas,es,literal,Banco Banesco,literal,Banesco,,,,,,,uri,http://www.wikidata.org/entity/Q15696927,,
90,uri,http://www.wikidata.org/entity/Q4854841,en,literal,Banesco,en,literal,Venezuela,en,literal,universal bank,literal,133953047,,,,uri,http://www.banesco.com,en,literal,Venezuelan financial institution located in Caracas,es,literal,Banco Banesco,literal,Banesco,,,,,,,uri,http://www.wikidata.org/entity/Q15696927,,
91,uri,http://www.wikidata.org/entity/Q4854841,en,literal,Banesco,en,literal,Venezuela,en,literal,financial institution,literal,133953047,,,,uri,http://www.banesco.com,en,literal,Venezuelan financial institution located in Caracas,es,literal,Banco Banesco,literal,Banesco,,,,,,,uri,http://www.wikidata.org/entity/Q15696927,,
92,uri,http://www.wikidata.org/entity/Q4854841,en,literal,Banesco,en,literal,Venezuela,en,literal,business,literal,133953047,,,,uri,http://www.banesco.com,en,literal,Venezuelan financial institution located in Caracas,es,literal,Banco Banesco,literal,Banesco,,,,,,,uri,http://www.wikidata.org/entity/Q15696927,,
93,uri,http://www.wikidata.org/entity/Q4855942,en,literal,Bank Maskan,en,literal,Iran,en,literal,bank,,,,,,uri,https://www.bank-maskan.ir/,en,literal,Iranian banking and financial services corporation,en,literal,"Maskan Bank, Maskan Bank Iran",,,,,,,,,,,,
94,uri,http://www.wikidata.org/entity/Q4855942,en,literal,Bank Maskan,en,literal,Iran,en,literal,public company,,,,,,uri,https://www.bank-maskan.ir/,en,literal,Iranian banking and financial services corporation,en,literal,"Maskan Bank, Maskan Bank Iran",,,,,,,,,,,,
95,uri,http://www.wikidata.org/entity/Q5053244,en,literal,CSB Bank Limited,en,literal,India,en,literal,bank,,,,,,uri,http://www.csb.co.in/,,,,,,,,,,,,,,,,,,
96,uri,http://www.wikidata.org/entity/Q5174601,en,literal,Cosmos Bank,en,literal,India,en,literal,bank,,,,,,uri,http://www.cosmosbank.com,,,,en,literal,"Cosmos Co-operative Bank, The Cosmos Co-operative Bank Ltd.",,,,,,,,,,,,
97,uri,http://www.wikidata.org/entity/Q5174601,en,literal,Cosmos Bank,en,literal,India,en,literal,business,,,,,,uri,http://www.cosmosbank.com,,,,en,literal,"Cosmos Co-operative Bank, The Cosmos Co-operative Bank Ltd.",,,,,,,,,,,,
98,uri,http://www.wikidata.org/entity/Q5242054,en,literal,Davivienda,en,literal,Colombia,en,literal,bank,,,,,,uri,http://www.davivienda.com,en,literal,Colombian bank,,,,literal,Davivienda,literal,COB51PA00076,,,,,,,,
99,uri,http://www.wikidata.org/entity/Q5242054,en,literal,Davivienda,en,literal,Colombia,en,literal,credit institution,,,,,,uri,http://www.davivienda.com,en,literal,Colombian bank,,,,literal,Davivienda,literal,COB51PA00076,,,,,,,,
100,uri,http://www.wikidata.org/entity/Q7181243,,literal,Q7181243,en,literal,Saudi Arabia,en,literal,bank,,,http://www.w3.org/2001/XMLSchema#integer,literal,1996,,,,,,,,,,,,,literal,/g/1224mymc,,,,,,
101,uri,http://www.wikidata.org/entity/Q7181243,,literal,Q7181243,en,literal,Saudi Arabia,en,literal,financial institution,,,http://www.w3.org/2001/XMLSchema#integer,literal,1996,,,,,,,,,,,,,literal,/g/1224mymc,,,,,,
102,uri,http://www.wikidata.org/entity/Q7181243,,literal,Q7181243,en,literal,Saudi Arabia,en,literal,business,,,http://www.w3.org/2001/XMLSchema#integer,literal,1996,,,,,,,,,,,,,literal,/g/1224mymc,,,,,,
