company_name,"No Retail Banking? 1 = No, 0 = Yes, Blank = Unknown",b-impact,GABV,country,website,twitter,description,Mission,History,Structure,Market Focus,overall_score,impact_area_environment,state,city,sector_2,size,industry,industry_category,products_and_services,sector
Assiniboine Credit Union,1,1,,Canada,assiniboine.mb.ca,https://twitter.com/MyAssiniboine,"Money doing more. This simple thought holds a bigger truth. It represents the way ACU does business, their promise to the members and a commitment to the communities they live and work in. ACU is guided by the principles of ""values-based banking"", meaning that the credit union remains financially strong while being socially, environmentally and ethically responsible.

ACU believes that money can and should, be used for good. To bring financial comfort, to help people's lives and to improve the environment. ACU is fortunate to be in a position to be able to use the credit union's expertise and resources to nurture self-reliant and sustainable communities, to help those less fortunate, and to help members achieve the quality of life they're seeking. All the while, ACU remains critically aware of the impact of business decisions on employees, members, the environment and on the communities their credit union serves.

ACU will never forget that their members are also the owners of Assiniboine Credit Union. They've shaped the credit union, they're pretty happy with the results and feel good about being part of something bigger, a financial co-operative that's dedicated to the triple bottom line of improving the lives of people, bettering the planet and creating prosperity.",,,,,166.4,15.3,Manitoba,Winnipeg,Service with Minor Environmental Footprint,250-999,Credit Provider,Financial Services,Financial Cooperative,Service with Minor Environmental Footprint
Vaya Finserv Private Limited,1,1,,India,www.vayaindia.com,https://twitter.com/VayaFinserv,"Vaya provides working capital loans for small and micro enterprises. Established by a team of seasoned microfinance professionals, Vaya uses the latest technology to deliver timely and relevant financial services to underserved rural geographies in India.

Vaya was the first company to use tablet banking in rural India. Since then, Vaya has added other state-of-the-art technology, from QR readers to iris-scan biometric authentication, and Data Analytics to Business Intelligence.
Vaya has a heightened focus on the seven principles of customer protection: fair and respectful treatment, transparency, designing suitable products, preventing over-indebtedness, privacy, and having a mechanism for complaint resolution.

Since Vaya customers are not familiar with conventional banking, Vaya trains them. Vaya uses simple and relatable methods to explain loan terms, interest rates, joint liability and other features. Such training not only imparts awareness but also serves to bolster trust and strengthen the credit culture.

Vaya's field staff invest significant time in developing good relationships with customers. There are extensive checks and balances in place to ensure fair and respectful treatment of customers. Field staff undergo thorough and ongoing training and evaluation.",,,,,120.6,6,Telangana,Hyderabad,Service with Minor Environmental Footprint,1000+,Credit Provider,Financial Services,"Working capital loans for small and micro enterprises, life and health insurance",Service with Minor Environmental Footprint
Assimoco S.p.A.,1,1,,Italy,www.assimoco.it,None,"The Assimoco Group was established in 1978 and was the first Italian Insurance Company of the “Movimento Cooperativo” (Cooperative Movement) in non-life bank assurance sector with the sale of homeowner’s insurance policies via a partnership with the “Banche di credito Cooperativo” (BCC) (Cooperative credit banks).
The Group’s headquarters are located in Segrate where approximately 400 employees work to manage more than 700 thousand customers.

Assimoco is one of the best companies to work for in Italy, in fact, in 2015 Assimoco made its debut in the Best Workplaces in Italy ranking, and was assigned 19th place out of the 23 award-winning companies.

In 2018 the company achieved 16th place in the ranking reserved for small and medium-sized companies.
The shareholders are R+V Versicherung AG, a leading insurance group in Germany and is the flagship company of the German Cooperative Sector; “Federazione delle Cooperative Raiffeisen” (Federation of Raiffeisen Cooperatives); Fondosviluppo; Confcooperative (Confederazione Cooperative Italiane - Italian Confederation of Cooperatives) and “Credito Cooperativo” (BCC).",,,,,80.6,9.4,Milano,Milano,Service with Minor Environmental Footprint,250-999,Insurance,Financial Services,"Personalized insurance solutions, favoring simplicity and accuracy.",Service with Minor Environmental Footprint
ARA Consultants Limited,1,1,,Australia,www.araconsultants.com.au,,"At ARA they do personal financial planning. Face to face.

They are owned entirely by staff and a number of small accounting firms. They have no affiliation with any other financial institution, bank, life office or fund manager. 

They like to keep things personal.

They have developed their own products and services specifically for their clients and don’t sell other bank or institution’s products. They neither receive nor pay commissions connected to their products.  

Indeed, everyone at ARA use the same products themselves and pay the same price. If it’s good enough for you then it’s good enough for them.

They also believe that companies with strong governance who consider the environmental, social and governance (ESG) risk of their business make for better long-term investments. To this end, they have crafted their products to favour investments that provide ongoing and sustainable economic growth.

They all sleep well at night.",,,,,93.8,2.3,Victoria,Kew,Service with Minor Environmental Footprint,10-49,Investment Advisor,Financial Services,Financial Planning Retirement Planning Investment Fund Superannuation Fund,Service with Minor Environmental Footprint
WE Family Offices LLC,1,1,,United States,www.wefamilyoffices.com,,"WE Family Offices was founded in 2000 as TBK Investments and was subsequently purchased by a major bank holding company. In 2013 the executive management team reclaimed the firm’s independence and created WE Family Offices, a new independent, fee-only fiduciary firm.

As of Dec 31, 2017, WE Family Offices advises or reports on more than $9 billion in assets. They currently work with about 70 families in the U.S. and abroad. They currently have more than 40 staff members, with a client to employee ratio of approximately 1:1.5.",,,,,80.5,9.1,Florida,Miami,Service with Minor Environmental Footprint,10-49,Investment Advisor,Financial Services,"WE Family Offices is an independent, fee-only fiduciary firm",Service with Minor Environmental Footprint
Bank Muamalat (Malaysia),1,,1,Malaysia,https://www.muamalat.com.my/,none,,,,,,,,,,,,,,,
Bank of Palestine (Palestine),1,,1,Palestine,https://www.bankofpalestine.com,none,,,,,,,,,,,,,,,
BRAC Bank (Bangladesh),1,,1,Bangladesh,https://www.bracbank.com/en/,none,,,,,,,,,,,,,,,
Center-Invest Bank (Russia),1,,1,Russia,https://www.centrinvest.ru/en/,none,,,,,,,,,,,,,,,
Amalgamated Bank,0,1,1,United States,www.amalgamatedbank.com,https://twitter.com/AmalgamatedBank,"Amalgamated Bank has always been a different kind of bank. Founded in 1923 by the Amalgamated Clothing Workers of America, a textile union of mostly immigrants in New York City, Amalgamated Bank became the first financial institution for the working class in a time when banking solely benefited corporations and the wealthy. Amalgamated pioneered free savings accounts, free checking accounts, unsecured credit, affordable housing loans, and second chance bank accounts for those people who had credit problems in the past. 
 
Since then, the bank has grown to serve those who help make the world more just, compassionate and sustainable. Their extensive experience, financial resources and community of like-minded customers offers labor unions, philanthropies, political campaigns, socially and environmentally responsible corporations, as well as individuals, a unique set of financial services enabling them to lead the charge to improve our communities and our country. It’s this commitment to working people and the organizations that support them that continues to set them apart from other banks.",,,,,115.1,16,New York,New York City,Service with Minor Environmental Footprint,250-999,Credit Provider,Financial Services,Financial Services,Service with Minor Environmental Footprint
ASN,0,,1,Netherlands,https://www.asnbank.nl,None,,,,,,,,,,,,,,,
Ekobanken,,,1,Sweden,https://www.ekobanken.se,https://twitter.com/_Ekobanken,,,,,,,,,,,,,,,
Tomorrow GmbH,,1,1,Germany,https://www.tomorrow.one/en-de,https://twitter.com/_tomorrow_one,"Tomorrow is the first European player to link the two issues of “Mobile Banking” and “Sustainable finance”. Tomorrow offers a mobile current account since March 2019; in the future a comprehensive financial platform will result from this.

They believe that money can be part of the solution. While you may make a conscious effort to buy organic vegetables and use green electricity, the money you have sitting in the bank might be financing a new coal-fired power station. Although it might sound over the top, that’s the harsh reality. It’s time to turn the tables! At Tomorrow, not a cent goes into armaments, coal power and co. They exclusively finance sustainable and social projects. The more they are, the greater the joint positive influence.",,,,,118.1,11,Hamburg,Hamburg,Service with Minor Environmental Footprint,10-49,Investment Advisor,Financial Services,Mobile banking for a better future,Service with Minor Environmental Footprint
Banco Ademi (Dominican Republic),,,1,Dominican Republic,https://bancoademi.com.do,https://twitter.com/AdemiBanco,,,,,,,,,,,,,,,
Banco de Antigua (Guatemala)  ,,,1,Guatemala,https://bantigua.com.gt,https://twitter.com/antiguabda,,,,,,,,,,,,,,,
Nationwide,,,1,United Kingdom,https://www.nationwide.co.uk,https://twitter.com/AskNationwide,,,,,,,,,,,,,,,
Banca Etica,,,1,Italy,https://www.bancaetica.it/,https://twitter.com/bancaetica,,,,,,,,,,,,,,,
Banco Codesarrollo (Ecuador),,,1,Ecuador,https://www.bancodesarrollo.fin.ec/,https://twitter.com/BanCodesarrollo,,,,,,,,,,,,,,,
BancoEstado Microempresas,,1,,Chile,www.bancoestado.cl,https://twitter.com/BancoEstado,"BancoEstado Microempresas is a public bank located in Chile. It provides financial services to consumers and companies, with a focus on national coverage in terms of geography and social sectors and a particular emphasis on the unbanked and small and medium enterprises.",,,,,97.9,5.7,Santiago,SANTIAGO,Service with Minor Environmental Footprint,1000+,Credit Provider,Financial Services,"Credits, Means of Payment, Insurance, Investment",Service with Minor Environmental Footprint
BankVic,,1,,Australia,bankvic.com.au,https://twitter.com/BankVic,"BankVic exists to strengthen the communities which we serve. Their aim is to build healthy communities that are financially, socially and environmentally sustainable. It's these beliefs that drive the work they do every day. That’s why they are about people before profits.",,,,,80.2,6.2,Victoria,Melbourne,Service with Minor Environmental Footprint,50-249,Credit Provider,Financial Services,Financial Services,Service with Minor Environmental Footprint
Beneficial State Bank,,1,1,United States,www.beneficialstate.com,https://twitter.com/BeneficialState,"Beneficial State Bank is an innovative, triple-bottom line, community development financial institution. Started in 2007, Beneficial State Bank came from a shared vision to start a bank that finances community-based businesses, builds the long-term prosperity of responsible consumers and supports companies that have a commitment to the environment. BSB has a one of a kind ownership structure-- its profits, when distributed, can only be distributed to Beneficial State Foundation to support our communities and environment. By design, the community is the shareholder that BSB serves, not special interests of any one group.

Note: This company or an affiliated individual or entity has made a philanthropic contribution to B Lab within the parameters of its conflict of interest policy. For more information visit the funders and finances section of this website.",,,,,176,20.4,California,Oakland,Service with Minor Environmental Footprint,50-249,Credit Provider,Financial Services,Community Development Financial Institution,Service with Minor Environmental Footprint
Big Path Capital,,1,,United States,www.bigpathcapital.com,https://twitter.com/bigpathcapital,"Big Path Capital is an investment bank advising companies, funds, and institutional investors that are advancing the sustainable economy. Big Path assists in raising debt and equity, corporate sales and divestitures, acquisitions, and strategic options.
 
 A new model of value creation is emerging which deploys capital in strategies that leverages the inherent link between natural, social and financial capital. It is a fallacy to claim that the achievement of environmental and social returns on invested capital assumes a compromised financial return. Sustainable strategies actually enable differentiated competitive advantages and lead to long-term value creation. Big Path’s clients are those entrepreneurs, companies, funds and investors scaling sustainable solutions.
 
 Big Path Capital seeks to accelerate the move to a sustainable economy. The economic base of today was built in an era of ample raw materials, inexpensive energy, and limited consideration of waste. That age has passed. Current dynamics are increasingly rewarding companies that operate sustainably.",,,,,109.1,11.5,North Carolina,Asheville,Service with Minor Environmental Footprint,0,Other,Financial Services,Investment banking,Service with Minor Environmental Footprint
Brattleboro Savings & Loan,,1,,United States,brattbank.com,https://twitter.com/Brattbank,"Founded in 1912 the Brattleboro Savings & Loan is an independent mutual bank with no shareholders.  They are a leading provider of financial services to residents, businesses and non-profits in their market area.  They offer a full range of personal and commercial banking services. Park Place Financial Advisors, the wealth management division, provides investment management services.

INVESTMENTS ARE NOT INSURED BY THE FDIC AND ARE NOT DEPOSITS OR OTHER OBLIGATIONS OF, OR GUARANTEED BY, ANY DEPOSITORY INSTITUTION.  FUNDS ARE SUBJECT TO INVESTMENT RISKS, INCLUDING POSSIBLE LOSS. 

The financial advisors of Park Place Financial Advisors offer securities and advisory services through Commonwealth Financial Network®, Member www.FINRA.org/www.SIPC.org, a Registered Investment Adviser.  Brattleboro Savings and Loan is not a registered broker-dealer or Registered Investment Adviser.  Brattleboro S & L and Commonwealth are separate and unaffiliated entities.",,,,,96.7,7.5,Vermont,Brattleboro,Service with Minor Environmental Footprint,10-49,Credit Provider,Financial Services,A full service community bank,Service with Minor Environmental Footprint
Charity Bank,,1,1,United Kingdom,www.charitybank.org,https://twitter.com/charitybank,"Charity Bank is an ethical savings and loans bank with a mission to use money for good. 
 
Charity Bank lends solely to charities, social enterprises and other organisations where the loan is for social purpose. Since 2002, it has used the money saved with it to provide over £170 million of loan finance to support organisations which are working to enrich and improve society. 
 
 
Savings with Charity Bank become part of a social mission. They may be used to extend sports centres, increase access to education for excluded young people, open a safe house for victims of domestic violence, provide homes for those on low incomes or regenerate deprived areas of the country, as examples.
 
 Charity Bank is entirely owned by charitable foundations, trusts and social purpose organisations. Charity Bank works in, and for, the social sector. Almost two-thirds of the projects financed by Charity Bank would not have gone ahead otherwise. Its loans support a wide range of organisations, including arts, community, education, environment, faith, health, housing, regeneration, social care and sports.",,,,,128.7,13.6,Kent,Tonbridge,Service with Minor Environmental Footprint,50-249,Credit Provider,Financial Services,Loans to charities and social enterprises. Ethical savings accounts.,Service with Minor Environmental Footprint
CIRCLE Alliance Bank,,1,,Australia,www.circle.com.au,https://twitter.com/circle_alliance,"CIRCLE's goal is to use banking as a force for good. They are a customer owned company supplying low fee banking services. By using their ""Do Good Banking"" products a return to the community is generated resulting in investment in social impact initiatives.",,,,,90,4,Victoria,Deer Park,Service with Minor Environmental Footprint,10-49,Credit Provider,Financial Services,Financial Services,Service with Minor Environmental Footprint
City First Bank,,1,1,United States,www.cityfirstbank.com,https://twitter.com/cityfirstdc,"As DC’s first community development financial institution bank (CDFI), City First’s mission begins and ends with the community. Their loans have made possible the creation of hundreds of new small businesses, thousands of jobs, thousands of affordable housing units, and dozens of new charter schools and other nonprofits that provide important services to their community. City First works creatively with socially responsible investors, public agencies, and financial intermediaries to provide a triple bottom line impact—helping depositors earn a superior return while their deposits go to work in neighborhoods in and around the Washington, DC region.
 
 Projects of note include: Bread for the City, Capital Area Food Bank, Central Union Mission, Mary’s Center, N Street Village, THEARC, Atlas Theater, Tivoli Theater, Thurgood Marshall Academy, EL Haynes, DC Prep, Achievement Prep, Bright Beginnings, Ben’s Chili Bowl and small businesses in Union Kitchen, as well as critical permanent affordable housing buildings in gentrifying neighborhoods.",,,,,146.8,5.8,District of Columbia,Washington,Service with Minor Environmental Footprint,10-49,Credit Provider,Financial Services,Banking Products and Financial Services,Service with Minor Environmental Footprint
Clearwater Credit Union ,,,1,United States,https://clearwatercreditunion.org,https://twitter.com/clearwatercu,,,,,,,,Montana,Missoula,,,,,,
Coast Capital Savings,,1,,Canada,www.coastcapitalsavings.com,https://twitter.com/Coast_Capital,"Coast Capital Savings is Canada’s largest credit union by membership. We’re on a mission to help empower our members to achieve what’s important in their lives by improving their financial well-being. We offer innovative products and services to put our members in the driver’s seat, like The Where You’re At Money Chat®, Take Charge Money Manager™, and The Free Chequing, Free Debit and More Account®. Our employees help our members build their financial future and everyday money management habits.

As an Imagine Canada Caring Company, Coast Capital invests 7% of pre-tax profits every year into local communities with a focus on empowering and engaging youth. So just by banking with us, our members are supporting youth in their local communities too.",,,,,100.9,4.9,British Columbia,Surrey,Service with Minor Environmental Footprint,1000+,Credit Provider,Financial Services,Credit Union,Service with Minor Environmental Footprint
Co-op Bank,,,1,United Kingdom,https://www.co-operativebank.co.uk,https://twitter.com/cooperativebank,,,,,,,,,,,,,,,
Crédit Coopératif,,,1,France,https://www.credit-cooperatif.coop/Institutionnel,https://twitter.com/credit_coop_,,,,,,,,Hauts-de-Seine,Nanterre,,,,,,
Cultura Bank ,,,1,Norway,https://www.cultura.no,https://twitter.com/CulturaBank,,,,,,,,,,,,,,,
DUCA Financial Services Credit Union,,1,,Canada,www.duca.com,https://twitter.com/DUCACU,"DUCA exists to help people do more, be more and achieve more with their money and their lives.
 
They do this by offering the best banking products and services in their branches, online and from mobile devices. DUCA is driven by a cooperative philosophy that puts you - a Member and owner - at the centre of every decision they make, giving you a voice in how they’re run and rewarding you for your loyalty by sharing their profits.",,,,,96.9,8,Ontario,Toronto,Service with Minor Environmental Footprint,50-249,Credit Provider,Financial Services,Personal Banking and Financial Services,Service with Minor Environmental Footprint
caisse d'épargne Normandie,,1,,France,www.caisse-epargne.fr/normandie/professionnels,https://twitter.com/Entrepreneurs,"Caisse d'Epargne Normandie has more than 210 branches, 4 business centers, 1,799 employees, 1.1 million customers, including 205,000 members. The only bank exclusively covering the whole of Normandy, it supports all clienteles: individuals, professionals, companies, startups, social economy players, Real Estate, Social Housing, protected persons, institutions and local communities. A major player in the economic development of its territory, the Caisse d'Epargne Normandie manages total assets of 35 billion euros. With its cooperative status, it is a full-service Norman bank: the funds it collects locally are reinvested in the region to finance the major projects and companies that make up Normandy. A philanthropic enterprise, Caisse d'Epargne Normandie is a bank engaged in financial education and solidarity-based sponsorship, in particular through the Caisse d'Epargne Normandie Fund for the solidarity initiative. She is also involved in personal microcredit (more than one in three microcredit in Normandy). With more than 7 million euros in donations in 10 years, it is the leading Norman patron of the social and solidarity economy and the voluntary sector.",,,,,83.3,5.8,Normandie,BOIS GUILLAUME,Service with Minor Environmental Footprint,1000+,Credit Provider,Financial Services,"Savings, Credits, Means of payment, Insurance, Patrimony, Real estate",Service with Minor Environmental Footprint
GLS,,,1,Germany,https://www.gls.de/privatkunden/,https://twitter.com/glsbank,,,,,,,,,,,,,,,
Habito,,1,,United Kingdom,www.habito.com,https://twitter.com/habito,"Habito launched in April 2016 with a vision to digitise the aspects of home financing and buying which still remain a pain point for so many homeowners, buy-to-let investors and first time buyers across the UK. They have since grown to become the UK’s best-known digital mortgage broker, voted Best Mortgage Broker in the British Bank Awards 2020. So far, they’ve helped more than 320,000 people in the UK access free, whole-of-market mortgage advice and, as a lender, have brought to market highly innovative mortgage products designed and built around customers’ needs. They’re on a mission to make mortgages easier for anyone who wants to own a home in the UK. The tide is turning on traditional home financing and they’re here to usher in a new future that combines the very best of human expertise with the efficacy of technology to reduce cost, stress, time and friction for all involved, whilst positively impacting the world around us. 

They’re passionate about People and Planet, ensuring they are intrinsically woven into every decision they make and every product or process they design.",,,,,83,8.9,London,London,Service with Minor Environmental Footprint,50-249,Investment Advisor,Financial Services,The UK’s leading digital mortgage company,Service with Minor Environmental Footprint
La Nef,,,1,France,https://www.lanef.com,https://twitter.com/lanef_,,,,,,,,,,,,,,,
Lead Bank ,,,1,United States,https://www.lead.bank/,https://twitter.com/Lead_Bank,,,,,,,,Missouri,Kansas City,,,,,,
Libro Credit Union,,1,,Canada,www.libro.ca,https://twitter.com/librocu,"Libro is one of southwestern Ontario’s largest credit union. As a financial co-operative Libro supports the well-being of people, businesses and communities by providing high-quality financial coaching and profit sharing and a full range of financial products and services including savings and chequing, investments, and borrowing.

In 2014 Libro Credit Union established a strong and clear statement of purpose – to grow prosperity in southwestern Ontario by transforming banking. They then began the work of ensuring everything they do contributes toward that aim.",,,,,126,5.2,Ontario,London,Service with Minor Environmental Footprint,250-999,Other,Financial Services,"Financial coaching, personal and business financial services.",Service with Minor Environmental Footprint
Mascoma Bank,,1,,United States,www.mascomabank.com,https://twitter.com/MascomaBank,"Mascoma Savings Bank is mutually owned and not for sale. With no shareholders to please, they are committed to remaining independent and to re-investing profits into the community. Their first priority has always been—and always will be—you, their customers. They are different than other banks and give you the security of a long-term relationship. They make sure you can pick up the phone and get things done locally with people who make decisions on your behalf. At Mascoma Savings Bank, they're putting you first, today and tomorrow. 

Their vision is to remain a mutually owned financial services company committed to exceeding the expectations of their customers, community, and employees. Their mission is to profitably provide, with knowledgeable service and convenient access, a broad array of financial products and services designed to meet the changing needs of their consumer and business customers.",,,,,114.9,7.5,New Hampshire,Lebanon,Service with Minor Environmental Footprint,250-999,Credit Provider,Financial Services,Financial Services,Service with Minor Environmental Footprint
National Cooperative Bank ,,,1,United States,https://www.ncb.coop,https://twitter.com/natlcoopbank,,,,,,,,,,,,,,,
OMISTA Credit Union,,1,,Canada,www.omista.com,https://twitter.com/OmistaCU,"OMISTA Credit Union exists to provide A Better Way To Bank – one that operates with the best interests of their customers and community in mind.

OMISTA’s products and services are designed for New Brunswickers who want full-service, holistic banking and who care about making the place they live even better.

Credit Unions are unique from other financial institutions in that they are not owned by shareholders; they are owned by customers. While each Credit Union is independent and locally controlled by its customers, all Credit Unions share a common bond – to improve the wealth of the people and communities they serve. The goal at OMISTA is to have a positive impact on our stakeholders through the business they do. They truly believe business can be a force for good!

They are committed to enhancing their communities through economic, social and environmental objectives. They do this by keeping more money in the pockets of their customers; helping communities prosper; putting people before profits; and partnering for public policy solutions. This means their profits have a higher purpose – to benefit the people they serve, their customers.",,,,,100.4,4.3,New Brunswick,Moncton,Service with Minor Environmental Footprint,50-249,Credit Provider,Financial Services,Local banking and financial services,Service with Minor Environmental Footprint
Shine,,1,,France,www.shine.fr,https://twitter.com/shine_tools,"Shine is a responsible neobank, which offers a 100% online pro account and a real administrative co-pilot. Pro account, invoices, accounting, insurance: they simplify the banking and administrative experience of independents, thanks to a balance between online service and human support.",,,,,92.9,11.3,Ile de France,PARIS,Service with Minor Environmental Footprint,10-49,Other,Financial Services,Business banking,Service with Minor Environmental Footprint
"Southern Bancorp, Inc.",,1,1,United States,banksouthern.com,https://twitter.com/southernbancorp,Southern Bancorp helps underserved families and communities grow financially stronger by combining traditional banking and lending services with financial development tools ranging from credit counseling to public policy advocacy.,,,,,82.7,0.1,Arkansas,Arkadelphia,Service with Minor Environmental Footprint,250-999,Credit Provider,Financial Services,Financial Banking and Retail Services,Service with Minor Environmental Footprint
